PAGE_URL,DOWNLOAD_URL,IMAGE_URL,GPT4_DESCRIPTION,TAGS,RAW_DOWNLOAD_LINK,DOWNLOAD_SIZE,FILENAME,SUFFIX,PROCESSED_PATHS,Total_Loss,Recon_Loss,BCE_Loss,KLD,Accuracy,Precision,Recall,F1_Score,HIGHEST_PATH,HIGHEST_F1_SCORE
https://www.planetminecraft.com/project/desert-spawn-free-download/,https://www.mediafire.com/?r2g7m9rx1io5sl3,,,"['Land Structure', 'Spawn', 'Desert', 'Dutch', 'Buildteam', 'Desertspawn', 'Bosmarmot', 'Debosmarmot', 'Titanbuilds']",https://download1530.mediafire.com/jlno62nz27egFhSDaOfihoW54a_BnBsJNcJHxffcGcLZUFhUWbBwXTDDTA3rLWf6kyfxp--zUqPSncV8Tr0UNuLE7_XY011PvmwylPQLsW6b9wRJjVEKYQdx-W6TYMzFEoCKfcDu0HVVPVbVsqPd9YdOu3x0zilndR9vwoB5wM3n/r2g7m9rx1io5sl3/DesertSpawn.zip,1748554.0,DesertSpawn.zip,mca,['/lustre/fs1/groups/jaedo/processed_builds/batch_187_4845.h5'],[0.007640101481229067],[0.00015416814130730927],[0.000346329587046057],[0.007139603607356548],[1.0],[1.0],[1.0],[1.0],/lustre/fs1/groups/jaedo/processed_builds/batch_187_4845.h5,1.0
https://www.planetminecraft.com/project/modern-mansion-2281686/,http://www.mediafire.com/?tvqaals6ess65ix,,,"['Land Structure', 'Minecraft']",http://download1588.mediafire.com/wf2rk0nec8ogrAfL4p9cPrxL-_u3nnrKXSqCXrWuLTlWkRxwQM3a0B8BAyTjhYTkfXp8lnW3CbbLIqOnl_YftDbw3E2TPkRw6eUoOkbPA8vyKNavR8SpMbeRv6pZYmil_ZgAh6-Gzpn1mhxs-YI1BiTeF_K5Vp5MZ_a0UjRNaIy_Ng/tvqaals6ess65ix/Modern+Mansion.zip,4834779.0,Modern+Mansion.zip,mca,['/lustre/fs1/groups/jaedo/processed_builds/batch_613_15912.h5'],[0.007726190146058798],[0.00017901885439641774],[0.0004075676260981709],[0.007139603607356548],[1.0],[1.0],[1.0],[1.0],/lustre/fs1/groups/jaedo/processed_builds/batch_613_15912.h5,1.0
https://www.planetminecraft.com/project/modern-house-5-3303699/,http://www.mediafire.com/download/s53iunbkejj9isa/Alexia+City+v.2.zip,,,['Land Structure'],http://download1654.mediafire.com/4u7nqxx6icggDjim6zCWDE2-H6Y1ALRW1LDe9LHp8yyMLAl3fc9aztDu7MH-QwczWKyFxhOo1-_kFpLNdOu85x6ck56kZJUWy4fN_TqI62aKA6SQ5q38Hp1Zrm0Su_34rm8QhvJj0W-WfVTnNNeqqdEHwW9hsPCtzUSN2FmHE3HlPw/s53iunbkejj9isa/Alexia+City+v.2.zip,11055707.0,Alexia+City+v.2.zip,mca,['/lustre/fs1/groups/jaedo/processed_builds/batch_325_8444.h5'],[0.012077870778739452],[0.00019780834554694593],[0.0005291730631142855],[0.011350889690220356],[1.0],[1.0],[1.0],[1.0],/lustre/fs1/groups/jaedo/processed_builds/batch_325_8444.h5,1.0
https://www.planetminecraft.com/project/empire---technomancer-fortress/,http://www.mediafire.com/download/qi9iwnfsxnnu4de/Technomancer.zip,,,"['Land Structure', 'Redstone', 'Empire', 'Steampunk', 'Industrial', 'Ocean', 'Fortress', 'Oil', 'Rig', 'Enigma', 'Mrenigma', 'Technomancer']",http://download1591.mediafire.com/7vqx0cvs2k2gXcH8FYiUfu3dh-vH_jCPiZ1t4fUgCUkU7f059fP4HREKiwH-SN7ZPgUQeYF15EwMT2JWslRkctYP4gXdafVcRLRDas3wlrC2VRVUV7qXl2vvV7iUePG3w1SxO6_a4vfsOPPPg63FWOS6aobtXkNxK2onNzmbvGG97A/qi9iwnfsxnnu4de/Technomancer.zip,9442379.0,Technomancer.zip,mca,"[' /lustre/fs1/groups/jaedo/processed_builds/batch_402_10447_3.h5', '/lustre/fs1/groups/jaedo/processed_builds/batch_402_10447.h5', ' /lustre/fs1/groups/jaedo/processed_builds/batch_402_10447_1.h5', ' /lustre/fs1/groups/jaedo/processed_builds/batch_402_10447_2.h5', ' /lustre/fs1/groups/jaedo/processed_builds/batch_402_10447_4.h5', ' /lustre/fs1/groups/jaedo/processed_builds/batch_402_10447_5.h5', ' /lustre/fs1/groups/jaedo/processed_builds/batch_402_10447_6.h5']","[0.01199057511985302, 0.3789488673210144, 0.00856067705899477, 0.008841981180012226, 0.014471400529146194, 0.007781914435327053, 0.014550100080668926]","[0.0002349914429942146, 0.21854303777217865, 0.0003457758284639567, 0.0008983081206679344, 0.00041254519601352513, 0.00034456831053830683, 0.00032619936973787844]","[0.0022238290403038263, 0.10985635221004486, 0.0011710155522450805, 0.0008997872355394065, 0.0041662100702524185, 0.0003934601554647088, 0.003226740285754204]","[0.00953175500035286, 0.0505494698882103, 0.007043885998427868, 0.007043885998427868, 0.009892645291984081, 0.007043885998427868, 0.010997160337865353]","[0.9987983703613281, 0.9581108093261719, 0.999969482421875, 1.0, 0.9983329772949219, 0.9999618530273438, 0.9983291625976562]","[0.9736908043096968, 0.9636686207960506, 1.0, 1.0, 0.9618783135571826, 1.0, 0.9314983443708609]","[0.94873046875, 0.5431030735121506, 0.9990234375, 1.0, 0.93017578125, 0.998779296875, 0.9767795138888888]","[0.961048596512922, 0.694692356882698, 0.9995114802149487, 1.0, 0.9457614496710934, 0.9993892756809576, 0.9536016949152543]", /lustre/fs1/groups/jaedo/processed_builds/batch_402_10447_3.h5,1.0
https://www.planetminecraft.com/project/minecraft-purpur-village/,http://www.mediafire.com/download/qmm7uii71adwqta/Purpur+Village.zip,,,"['Land Structure', 'Minecraft', 'Building', 'Village', 'Villager', 'Purpur', 'Minecaft']",http://download1648.mediafire.com/01ewkyxfag0gJu4Fk8PhdMcAXDKYFTKqybDSDUsKCRAC8tBrsqRBve9Ks9_yFwzi8WTJbu887jNwK9zHT5kWGzMLiS1mglCvmx5x7Z6QegCswDAWf0Cc2FPZgH4p5WQgeVw6XHLoulMf46mbKzPy8EFUzG7mWZbszS3QjPv2vXzu/qmm7uii71adwqta/Purpur+Village.zip,851990.0,Purpur+Village.zip,mca,['/lustre/fs1/groups/jaedo/processed_builds/batch_229_5948.h5'],[0.011484849266707897],[0.0009541845647618175],[0.0008460179669782519],[0.009684646502137184],[1.0],[1.0],[1.0],[1.0],/lustre/fs1/groups/jaedo/processed_builds/batch_229_5948.h5,1.0
https://www.planetminecraft.com/project/circlecube-master-world/,http://www.mediafire.com/download/0zw3x3vbxp16i51/Drellin.zip,,,"['City', 'Land Structure', 'Minecraft', 'House', 'Modern', 'Mansion', 'Town', 'Traditional', 'Apartments', 'Suburban', 'Themed', 'Flats', 'Neighbourhood', 'Circlecube']",http://download1531.mediafire.com/853eomj0cmkg9sgCjyIiTEOZnikAgSn-Ywq2QwRWN0DdYDfWU03cX-bukDGSO1SUbnLWvlEELW7e2ex0OZNlUn25uuUYkFFUsLlhFO_hnJUoHwAstESaExSwYkhOU0OPxG6-KlyiVhNcYIpWFNwa_ejNES83Jk6s0N02816ts8dVNg/0zw3x3vbxp16i51/Drellin.zip,1475801.0,Drellin.zip,mca,['/lustre/fs1/groups/jaedo/processed_builds/batch_342_8886.h5'],[0.01087464764714241],[0.0005757687031291425],[0.0003899236035067588],[0.009908955544233322],[1.0],[1.0],[1.0],[1.0],/lustre/fs1/groups/jaedo/processed_builds/batch_342_8886.h5,1.0
https://www.planetminecraft.com/project/dusty-depot-amp-factories-in-minecraft/,http://www.mediafire.com/file/9j7vmzb5t9qj18w/Dusty_Depot.zip/file,,,"['Land Structure', 'Fortnite', 'Dustydepot', 'Dustydepotmap', 'Dustymapdownload']",http://download1532.mediafire.com/gllq1wy13r0gisgX6qcfkDTvgAb5j-Oza_rOqhwzBrcRed0J3-UshIixapLWcwSJqdCSu7LDaOly-RcRbkEGOCqAvngzVTOcvNt9c8Imj6bzFPbxDCV-ePiJX5XdrWHNEN4J_9vvwA5QDxxT1oHk-5eyEuVNQb2p-y9cTMdwpn6efA/9j7vmzb5t9qj18w/Dusty+Depot.zip,2002001.0,Dusty+Depot.zip,mca,['/lustre/fs1/groups/jaedo/processed_builds/batch_103_2663.h5'],[0.01361888088285923],[0.00048242355114780366],[0.00320701627060771],[0.009929440915584564],[1.0],[1.0],[1.0],[1.0],/lustre/fs1/groups/jaedo/processed_builds/batch_103_2663.h5,1.0
https://www.planetminecraft.com/project/minecraft-medieval-townscitys-19/,http://www.mediafire.com/download/pmjrhrj4iwi5t09/Medieval+Citys.zip,,,['Land Structure'],http://download1590.mediafire.com/f88eo03iqwvgbS7PtfaU7o-bnd96VrCb-2ao3scCce_rMkNYpcr98CNmohNZ0UgaqU0FdEB90RMdmo2yzxp0HhqapEIlVYXCJDwqcLUxG3tXF5zQYPUrfWxW1QFcU-ELSTXjkS5BObbUpMv3X4qbq5F_7ANhI9FVcTbu04qcdm05/pmjrhrj4iwi5t09/Medieval+Citys.zip,33192467.0,Medieval+Citys.zip,mca,"['/lustre/fs1/groups/jaedo/processed_builds/batch_257_6676.h5', ' /lustre/fs1/groups/jaedo/processed_builds/batch_257_6676_1.h5', ' /lustre/fs1/groups/jaedo/processed_builds/batch_257_6676_2.h5']","[0.01115214079618454, 0.23768475651741028, 0.008119718171656132]","[0.00025090196868404746, 0.18646608293056488, 0.0003815924865193665]","[0.0005756205064244568, 0.044174790382385254, 0.0006942399777472019]","[0.010325618088245392, 0.007043885998427868, 0.007043885998427868]","[1.0, 0.9814872741699219, 0.9999923706054688]","[1.0, 0.8896149358226371, 1.0]","[1.0, 0.46533203125, 0.999755859375]","[1.0, 0.611044321551655, 0.9998779147845196]",/lustre/fs1/groups/jaedo/processed_builds/batch_257_6676.h5,1.0
https://www.planetminecraft.com/project/small-pvp-spawn-made-by-catchme213/,http://www.mediafire.com/download/yapaxx2kprx29a9/Pvp%20spawn%20made%20by%20Catchme213.rar,,,['Land Structure'],http://download1326.mediafire.com/kvznrkhsbkhgUxHtj2oO6i7H1qakMcQXPV2JAXuiZElqHAgv-OJnWlXPeI8MvYjUZ6kOG1ACRegdpTMxOr6gwj3hekUCLWwgzWUaqqLY3X9ZkJ7LGZtYpkU2MXupBHL5GMONPnpFz0LrVd84rf_CcHl2TVdpAUWCF7_01nECjd93/yapaxx2kprx29a9/Pvp+spawn+made+by+Catchme213.rar,1668850.0,Pvp+spawn+made+by+Catchme213.rar,mca,"[' /lustre/fs1/groups/jaedo/processed_builds/batch_521_13530_1.h5', '/lustre/fs1/groups/jaedo/processed_builds/batch_521_13530.h5']","[0.14383739233016968, 0.010096955113112926]","[0.08399252593517303, 0.0002092426730087027]","[0.024647660553455353, 0.0004003741196356714]","[0.03519721329212189, 0.009487338364124298]","[0.9914321899414062, 1.0]","[0.9567454574690465, 1.0]","[0.7505992178629999, 1.0]","[0.8412272020359112, 1.0]", /lustre/fs1/groups/jaedo/processed_builds/batch_521_13530_1.h5,1.0
https://www.planetminecraft.com/project/tardis-commission-magicman88999/,http://www.mediafire.com/?8yj3sma3phb2u5n,,,"['Land Structure', '3d Art', 'Minecraft', 'Space', 'Dragon', 'Craft', 'Time', 'Cabin', 'Real', 'Doctor', 'Tardis', 'End', 'Pillar', 'Working', 'Relative', 'Dimensions', 'Dr']",http://download1500.mediafire.com/l4nrqkzdczpgqW3H3d2r1cqqG9BaRyHEMZvCM1xbXFkqayZr0HLDpOch1htk8MXgNOfJHAQmWF1k7FWJBQoDIhmJlJZxLCmaeBIoVUVYXZBNYxIYXPBgX_ML2bvmYbcP5botVwfnCWkf46gBHbotrXshOmLxjDO5gB55DsT9PQlF/8yj3sma3phb2u5n/Custom+Tardis+for+Magicman88999.zip,3571575.0,Custom+Tardis+for+Magicman88999.zip,mca,"[' /lustre/fs1/groups/jaedo/processed_builds/batch_540_14037_1.h5', '/lustre/fs1/groups/jaedo/processed_builds/batch_540_14037.h5', ' /lustre/fs1/groups/jaedo/processed_builds/batch_540_14037_2.h5']","[0.12846580147743225, 0.007560227066278458, 0.09113959223031998]","[0.08107368648052216, 0.000242459966102615, 0.04417441785335541]","[0.022984836250543594, 0.00027388110174797475, 0.011399894952774048]","[0.0244072787463665, 0.007043885998427868, 0.03556527942419052]","[0.9920845031738281, 1.0, 0.9957199096679688]","[0.9013729977116705, 1.0, 0.9997613137292343]","[0.7055346587855992, 1.0, 0.9741383320154425]","[0.791520144679996, 1.0, 0.9867835182698423]", /lustre/fs1/groups/jaedo/processed_builds/batch_540_14037_1.h5,1.0
