PAGE_URL,DOWNLOAD_URL,IMAGE_URL,GPT4_DESCRIPTION,TAGS,RAW_DOWNLOAD_LINK
https://www.planetminecraft.com/project/open-large-tree-atrium-in-tall-sand-dunes-map/,https://www.mediafire.com/file/221mcei3a2cjtem/LargeSandDunes.zip/file,https://static.planetminecraft.com/files/image/minecraft/project/2024/087/17601187_m.jpg,,"['Land Structure', 'Tree', 'Sand', 'Desert', 'Glass', 'Open', 'Brown', 'Dunes', 'Atrium', 'Beds', 'Remote', 'Sands', 'Desolate', 'Heat', 'Larg', 'Alone']",https://download1501.mediafire.com/bay4klyf7mnguO_0-VNKuMVJEo24_24PvSsYu2m3UafLBtw5GK8DhnG6v4L4GBRzLQioObId4H37g5JEoabYQKDjghN_K_Bj3BHmy9j5Lvyfc_d1tQ7ORcpVABOcPQX2Mzmoy0iiQv1deySLMWWDKCvzULQH_5KdGeBaP78jZKhsaw/221mcei3a2cjtem/LargeSandDunes.zip
https://www.planetminecraft.com/project/shophouse-download/,https://www.planetminecraft.com/project/shophouse-download/download/worldmap/,https://static.planetminecraft.com/files/image/minecraft/project/2024/028/17601008-shophouse_m.jpg,,"['Fantasy', 'Medieval', 'Big', 'Land Structure', 'Survival', 'Building', 'House', 'Mansion', 'Epic', 'Download', 'Village', 'Vanilla', 'Blue', 'Home', 'Schematic', 'Manor', 'Cozy', 'Shop', 'Clan', 'Cyan', 'Litematica', 'Boulevardier']",https://static.planetminecraft.com/files/resource_media/schematic/boulevardier-s-shophouse.zip
https://www.planetminecraft.com/project/cosy-town-bar/,https://www.mediafire.com/file/c823rkx5smopz0y/Cosy_Town_Bar_by_ClipperZ0.zip/file,https://static.planetminecraft.com/files/image/minecraft/project/2024/179/17598436_m.jpg,,"['Land Structure', 'Minecraft', 'Minecraftmap', 'Cosy', 'Bar', 'Minecraftbuild', 'Minecraftworld']",https://download2266.mediafire.com/9jgcqzgx5vpgy957Mp3wpzbt5eI2q9t-BWfGkcNv-tjsMokZ1k5_Up_IqABJc8bCDNynavHPRvlMNX6AssjPIcjEIzft3PZb5eWPH5-xcbXXyBrat96OtJE0R7P6uL9vynA-Blhc-d_ZP1SKQ-C2ljFq-No13dip1iGXPO8QRIFkeQ/c823rkx5smopz0y/Cosy+Town+Bar+by+ClipperZ0.zip
https://www.planetminecraft.com/project/crimson-manor-download/,https://www.planetminecraft.com/project/crimson-manor-download/download/worldmap/,https://static.planetminecraft.com/files/image/minecraft/project/2024/106/17598145-crimson-manor_m.jpg,,"['Fantasy', 'Medieval', 'Land Structure', 'Survival', 'Tower', 'Download', 'Base', 'Vanilla', 'Red', 'Schematic', 'Manor', 'Cozy', 'Crimson', 'Litematica', 'Boulevardier']",
https://www.planetminecraft.com/project/iwo-jima-pacific-volcano-islands-map-4k-x-4k/,https://mega.nz/file/VVsCmb6T#knvsFVonFEi2aYkWxrr7eZYTOSypERkz_WqimrxEanI,https://static.planetminecraft.com/files/image/minecraft/project/2024/496/17593400_m.jpg,,"['Map', 'Land Structure', 'Japanese', 'Japan', 'Island', 'Beach', 'Mountain', 'Ww2', 'History', 'Pacific', 'Marines', 'Historical', 'Iwo', 'Jima', 'Iwojima', 'Other', 'Iwo Jima', 'Suribachi']",
https://www.planetminecraft.com/project/emerald-palms-hotel/,https://www.planetminecraft.com/project/emerald-palms-hotel/download/schematic/,https://static.planetminecraft.com/files/image/minecraft/project/2024/499/17593078-screenshot-at_m.jpg,,"['City', 'Land Structure', 'Beach', 'Hotel', 'Pool', 'Resort']",https://static.planetminecraft.com/files/resource_media/schematic/emerald-palms.schem
https://www.planetminecraft.com/project/desert-tavern-v2/,https://www.mediafire.com/file/35zv12nd816h21p/Desert_Tavern_2.rar/file,https://static.planetminecraft.com/files/image/minecraft/project/2024/064/17591864_m.jpg,,"['Land Structure', 'Minecraft', 'Desert', 'Tavern', 'Minecraftbuilding', 'Minecraftbuilds', 'Desertbuild']",https://download1322.mediafire.com/iekr8p3lmcagbOI9rTy974BoJieORYbMXmuxC0BULnIkLCQAqULypY1Yiti0RvDm99Pv7QORqMq2DLLfcjLle_QuNYmY9ZrkJ8LLIyc_jlyEu58i79JXvzKtXbfRo7W1BKaGANCb3kxeY32jlhH0YspY94OEjMn-l77_jxiL_u46FA/35zv12nd816h21p/Desert+Tavern+2.rar
https://www.planetminecraft.com/project/bayview-3-0/,https://www.mediafire.com/file/4lqsaigqkwuknpg/Bayview+3.0.zip/file,https://static.planetminecraft.com/files/image/minecraft/project/2024/548/17590230_m.jpg,,['Land Structure'],https://download2271.mediafire.com/f3hn1h0wn54gkCGGUg-9WAVffveNDDEnSXE-frRTQqcRx9p6wUsCKkJIZ0hDQ5k98ygYIrk6MO0ZlLj5r-LBOJnX2sLTb5UsLjw5TCyfhL3opFL6udg0xVSUT500Iz0jPjaxh2JClWFub-1hAFpTqElc_KhRBGr1Nr2KbQMq_P9EYA/4lqsaigqkwuknpg/Bayview+3.0.zip
https://www.planetminecraft.com/project/desert-tavern/,https://www.mediafire.com/file/s7mi6vy8j44fi94/Desert_Tavern.rar/file,https://static.planetminecraft.com/files/image/minecraft/project/2024/279/17589358_m.jpg,,"['Land Structure', 'Tavern', 'Minecraftbuilds', 'Minecraftdesert', 'Minecraftdesertbuilds']",https://download847.mediafire.com/wivosf9rkkngBYYqGEPpIdCma_aNsbgaFPgdO1dtX_AmP6Bqr4-Zcmk4ntnJYhAkqpePV5mVoCJSYfmbtCJ3FqyYwm6DyYvQW-5je6aswG-VIaatuCskJ-uB2aQlWl1tBt3EBR9rrsDAtv5TSCFHhE1sagu3NqQAsRaAh9lic_b9Og/s7mi6vy8j44fi94/Desert_Tavern.rar
https://www.planetminecraft.com/project/nikkinoie-schematic-download-amp-world-save/,https://www.myzia.net/downloads,https://static.planetminecraft.com/files/image/minecraft/project/2024/839/17569361_m.jpg,,"['Fantasy', 'Land Structure', 'Anime', 'Japanese', 'Detailed', 'Schematic', 'Asian', 'Cute', 'Cottage', 'Worldsave', 'Myzia']",
